user_id,skill,correct,ms_first_response,hint_count,attempt_count,Average_confidence(FRUSTRATED),Average_confidence(CONFUSED),Average_confidence(CONCENTRATING),Average_confidence(BORED)
100001,PYTHON-P1,0.9771325301243858,1368.0011169940371,2,1,0.3553547817590128,0.44124910025555314,0.15485213529314842,0.6223864140460714
100002,AI-Quiz1,0.9073998081377904,3583.866858275622,0,2,0.5404481728404446,0.07686383778204413,0.31696016481079714,0.4110506081660358
100003,PYTHON-P1,0.5120025299745252,5501.828019167297,1,2,0.36521750813602866,0.3777307116727182,0.40341575632448506,0.44174216300817926
100004,SQL-Q1,0.7433438568611925,2983.3010155447805,0,2,0.5547592847439408,0.49455213285407545,0.8003113594875735,0.5054822326685153
100005,JAVA-Q2,1.0,2547.9097455266365,0,0,0.4781064518449603,0.6054762373559276,0.26117922797592047,0.005730032625803015
100006,PYTHON-P2,0.7114144448462646,3085.7878895572535,2,1,0.5079067600719994,0.4547815069908495,0.3869756249220181,0.31713057473615075
100007,AI-Quiz2,0.5115984584837356,1769.1486224723174,3,2,0.7705167460558152,0.07541645897506119,0.46800487907304916,0.47181861087630383
100008,JAVA-Q2,1.0,3755.605678967285,3,4,0.8947725094915233,0.4076760074332658,0.44435803453623895,0.45284597555323797
100009,JAVA-Q1,0.9646013407459064,4223.794267391859,4,1,0.6057598308157001,0.7886226255980077,0.11395037919134193,0.2386256505059391
100010,JAVA-Q2,0.5768160898242825,2426.2850253700444,2,3,0.4970375939999768,0.6692796438756393,0.5965169393768449,0.5767513229999668
100011,JAVA-Q1,0.6721570707025081,1931.2470491335612,0,3,0.5014621531521475,0.17662207543876732,0.3700667426474794,0.3926677501643469
100012,SQL-Q2,0.8898008412847248,4369.313525790589,0,5,0.11650527944209803,0.47120180917389637,0.20138747724311298,0.7900020047576662
100013,AI-Quiz1,0.8624485919121719,1220.2386972439924,1,4,0.6023426819222099,0.409461945267456,0.22842245630174435,0.40028316191968727
100014,JAVA-Q1,0.8471775448490249,2502.4785855577347,2,2,0.7578937765493378,0.5613519121998167,0.568984192753253,0.5148650376114725
100015,AI-Quiz2,0.6389782276631397,3498.4889714164747,0,2,0.471398896491486,0.8836463179789579,0.3777496936528703,0.13085583899740397
100016,JAVA-Q1,0.6038542875142736,2315.6752135311,1,3,0.5068532323515472,0.27091102144750606,0.11872793052637068,0.2666290851612326
100017,PYTHON-P1,0.751594613817372,1430.4028727311731,1,2,0.22602909169274377,0.8299565655543895,0.5272545905494028,0.40311426028428987
100018,PYTHON-P2,0.6248102666972866,3097.756138882208,1,1,0.6935452336873161,0.3212424878905789,0.3926580085991603,0.6068418119083828
100019,SQL-Q1,0.8382339390747466,3262.1947611741252,2,0,0.4058155311860464,0.7246420768503159,0.9547052759724187,0.5466942639775748
100020,SQL-Q1,0.5348217552193311,2522.741762959613,1,1,0.3767946884189789,0.6336895763937835,0.7384397566066562,0.5186589836630298
100021,PYTHON-P2,0.8055414467512398,2694.757988079115,0,2,0.7242357708555545,0.7773141837972511,0.5990966691697946,0.2552191494369749
